id,flavor_name,category,ingredients,sugar_g_per_serving,fat_g_per_serving,calories_per_serving,allergens,health_risk,description
1,Matcha Blast,Premium,"vanilla extract, wafer pieces, condensed milk, honey, cookie crumbs, sugar, milk",23,11,228,Soy,High calorie dessert – consume moderately,A delicious matcha blast ice cream with rich taste and smooth creamy texture.
2,Blueberry Dream,Exotic,"corn syrup, roasted nuts, food coloring, brown sugar, butter, condensed milk, chocolate chips, cookie crumbs",18,15,291,Soy,High calorie dessert – consume moderately,A delicious blueberry dream ice cream with rich taste and smooth creamy texture.
3,Lavender Delight,Candy,"food coloring, wafer pieces, chocolate chips, cream, milk, caramel syrup",25,20,285,Milk,High sugar intake may increase risk of diabetes,A delicious lavender delight ice cream with rich taste and smooth creamy texture.
4,Passion Fruit Swirl,Chocolate,"condensed milk, roasted nuts, vanilla extract, sugar, milk",23,7,229,Milk,Nut allergens may cause allergic reactions,A delicious passion fruit swirl ice cream with rich taste and smooth creamy texture.
5,White Chocolate Swirl,Fruit,"cookie crumbs, caramel syrup, sugar, fruit puree, chocolate chips",29,20,209,Nuts,High sugar intake may increase risk of diabetes,A delicious white chocolate swirl ice cream with rich taste and smooth creamy texture.
6,Chocolate Swirl,Chocolate,"cream, butter, caramel syrup, cocoa powder, condensed milk",17,5,275,Nuts,High fat content may contribute to obesity,A delicious chocolate swirl ice cream with rich taste and smooth creamy texture.
7,Cardamom Dream,Chocolate,"sugar, condensed milk, chocolate chips, natural flavor, brown sugar",19,17,285,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious cardamom dream ice cream with rich taste and smooth creamy texture.
8,Butterscotch Delight,Candy,"condensed milk, sugar, brown sugar, honey, wafer pieces, vanilla extract, cocoa powder",26,7,295,Soy,Artificial colors may cause mild sensitivity,A delicious butterscotch delight ice cream with rich taste and smooth creamy texture.
9,Mango Swirl,Chocolate,"corn syrup, caramel syrup, salt, condensed milk, wafer pieces, chocolate chips",34,11,195,Peanuts,Nut allergens may cause allergic reactions,A delicious mango swirl ice cream with rich taste and smooth creamy texture.
10,Saffron Delight,Exotic,"vanilla extract, honey, cream, corn syrup, salt, brown sugar, roasted nuts, chocolate chips",21,18,331,Gluten,Nut allergens may cause allergic reactions,A delicious saffron delight ice cream with rich taste and smooth creamy texture.
11,Butterscotch Blast,Healthy,"fruit puree, vanilla extract, cookie crumbs, brown sugar, roasted nuts",32,6,274,Peanuts,High fat content may contribute to obesity,A delicious butterscotch blast ice cream with rich taste and smooth creamy texture.
12,Strawberry Fusion,Nut,"roasted nuts, chocolate chips, salt, milk, food coloring, sugar",17,20,304,Soy,Nut allergens may cause allergic reactions,A delicious strawberry fusion ice cream with rich taste and smooth creamy texture.
13,Peach Swirl,Healthy,"sugar, food coloring, milk, cookie crumbs, condensed milk, vanilla extract",26,11,201,Milk,High fat content may contribute to obesity,A delicious peach swirl ice cream with rich taste and smooth creamy texture.
14,Raspberry Blast,Exotic,"milk, fruit puree, condensed milk, butter, roasted nuts, sugar",30,18,299,Nuts,High fat content may contribute to obesity,A delicious raspberry blast ice cream with rich taste and smooth creamy texture.
15,Red Velvet Blast,Classic,"cocoa powder, honey, butter, milk, cream",31,7,284,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious red velvet blast ice cream with rich taste and smooth creamy texture.
16,Saffron Blast,Candy,"brown sugar, natural flavor, butter, corn syrup, condensed milk, chocolate chips, wafer pieces, cookie crumbs",29,14,231,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious saffron blast ice cream with rich taste and smooth creamy texture.
